0.0000000000,  0
0.0712742521,  0.7127425206
0.2225147381,  1.512404861
0.3598480531,  1.37333315
0.3894007917,  0.2955273866
0.5615020345,  1.721012428
1.0291306639,  4.676286294
1.8861600850,  8.570294211
3.2264637031,  13.40303618
5.1439149232,  19.1745122
7.7323871505,  25.88472227
11.0857537902, 33.5336664
15.2978882474, 42.12134457
20.4626639272, 51.6477568
26.6739542349, 62.11290308
34.0256325756, 73.51678341
42.6115723545, 85.85939779
52.5256469766, 99.14074622
63.8617298471, 113.3608287
76.7136943713, 128.5196452
91.1754139542, 144.6171958
107.3407620011,161.6534805
125.3036119170,179.6284992
145.1578371071,198.5422519
166.9973109766,218.3947387
190.9159069306,239.1859595
217.0074983743,260.9159144
245.3659587129,283.5846034
276.0851613514,307.1920264
309.2589796951,331.7381834
344.9812871490,357.2230745
383.3459571184,383.6466997
424.4468630085,411.0090589
468.3778782243,439.3101522
515.2328761710,468.5499795
565.1057302537,498.7285408
618.0903138777,529.8458362
674.2805004481,561.9018657
733.7701633700,594.8966292
796.6531760486,628.8301268
863.0234118891,663.7023584
932.9747442965,699.5133241
1006.6010466761,	736.2630238
1083.9961924330,	773.9514576
1165.2540549723,	812.5786254
1250.4685076992,	852.1445273
1339.7334240190,	892.6491632
1433.1426773366,	934.0925332
1530.7901410573,	976.4746372
1632.7696885863,	1019.795475
1739.1751933286,	1064.055047
1834.4635991931,	952.8840586
1928.0296964956,	935.660973
2019.8984078792,	918.6871138
2110.0950472219,	901.9663934
2198.6453385504,	885.5029133
2285.5754349754,	869.3009642
2370.9119375131,	853.3650254
2454.6819136407,	837.6997613
2536.9129154168,	822.3100178
2617.6329969803,	807.2008156
2696.8707312222,	792.3773424
2774.6552254134,	777.8449419
2851.0161355475,	763.6091013
2925.9836791522,	749.675436
2999.5886463026,	736.0496715
3071.8624085636,	722.7376226
3142.8369255797,	709.7451702
3212.5447490255,	697.0782345
3281.0190236306,	684.7427461
3348.2934849970,	672.7446137
3414.4024539331,	661.0896894
3479.3808270468,	649.7837311
3543.2640633569,	638.8323631
3606.0881667072,	628.2410335
3667.8896638029,	618.014971
3728.7055777224,	608.1591392
3788.5733968034,	598.6781908
3847.5310388507,	589.5764205
3905.6168106658,	580.8577182
3962.8693629577,	572.5255229
4019.3276407529,	564.582778
4075.0308294887,	557.0318874
4130.0182970341,	549.8746755
4184.3295319494,	543.1123492
4238.0040783550,	536.7454641
4291.0814678365,	530.7738948
4343.6011488711,	525.1968103
4395.6024143014,	520.0126543
4447.1243274260,	515.2191312
4498.2056473053,	510.8131988
4548.8847539032,	506.791066
4599.1995736953,	503.1481979
4649.1875063757,	499.8793268
4698.8853532846,	496.9784691
4748.3292481575,	494.4389487
4797.5545907682,	492.2534261
4846.5959839961,	490.4139323
4895.4871748037,	488.9119081
4944.2609995525,	487.7382475
4992.9493340290,	486.8833448
5041.5830484847,	486.3371446
5090.1919679304,	486.0891945
5138.8048378552,	486.1286992
5187.4492954750,	486.4445762
5236.1518465464,	487.0255107
5284.9378477231,	487.8600118
5333.8314943696,	488.9364665
5382.8558136958,	490.2431933
5432.0326630257,	491.7684933
5481.3827329714,	493.5006995
5530.9255552515,	495.4282228
5580.6795148569,	497.5395961
5630.6618662521,	499.823514
5680.8887532773,	502.2688703
5731.3752324104,	504.8647913
5782.1352990416,	507.6006663
5833.1819164138,	510.4661737
5884.5270468868,	513.4513047
5936.1816851924,	516.5463831
5988.1558933602,	519.7420817
6040.4588370066,	523.0294365
6093.0988227009,	526.3998569
6146.0833361348,	529.8451343
6199.4190808491,	533.3574471
6253.1120172847,	536.9293644
6307.1674019505,	540.5538467
6361.5898265207,	544.2242457
6416.3832566909,	547.9343017
6471.5510706486,	551.6781396
6527.0960970242,	555.4502638
6583.0206522139,	559.2455519
6639.3265769780,	563.0592476
6696.0152722336,	566.8869526
6753.0877339776,	570.7246174
6810.5445872853,	574.5685331
6868.3861193435,	578.4153206
6926.6123114859,	582.2619214
6985.2228702092,	586.1055872
7044.2172571534,	589.9438694
7103.5947180395,	593.7746089
7163.3543105601,	597.5959252
7223.4949312262,	601.4062067
7284.0153411745,	605.2040995
7344.9141909434,	608.9884977
7406.1900442281,	612.7585328
7467.8414006261,	616.513564
7529.8667173844,	620.2531676
7592.2644301618,	623.9771278
7655.0329728175,	627.6854266
7718.1707962359,	631.3782342
7781.6763861995,	635.0558996
7845.5482803172,	638.7189412
7909.7850840134,	642.368037
7974.3854855857,	646.0040157
8039.3482703313,	649.6278475
8104.6723337443,	653.2406341
8170.3566937823,	656.8436004
8236.4005021996,	660.4380842
8302.8030549409,	664.0255274
8369.5638015897,	667.6074665
8436.6823538636,	671.1855227
8504.1584931457,	674.7613928
8571.9921770437,	678.336839
8640.1835449659,	681.9136792
8708.7329227036,	685.4937774
8777.6408260117,	689.0790331
8846.9079631792,	692.6713717
8916.5352365840,	696.272734
8986.5237432302,	699.8850665
9056.8747742697,	703.5103104
9127.5898135137,	707.1503924
9198.6705349468,	710.8072143
9270.1187992638,	714.4826432
9341.9366494548,	718.1785019
9414.1263054770,	721.8965602
9486.6901580578,	725.6385258
9559.6307616874,	729.4060363
9632.9508268717,	733.2006518
9706.6532117267,	737.0238486
9780.7409130120,	740.8770129
9855.2170567138,	744.761437
9930.0848883038,	748.6783159
10005.3477628133,	752.6287451
10081.0091348788,	756.6137207
10157.0725489278,	760.6341405
10233.5416296872,	764.6908076
10310.4200732085,	768.7844352
10387.7116386148,	772.9156541
10465.4201407807,	777.0850217
10543.5494441634,	781.2930338
10622.1034580032,	785.5401384
10701.0861331110,	789.8267511
10780.5014604543,	794.1532734
10860.3534717428,	798.5201129
10940.6462421993,	802.9277046
11021.3838956825,	807.3765348
11102.5706123036,	811.8671662
11184.2106386487,	816.4002635
11266.3083006848,	820.9766204
11348.8680193901,	825.5971871
11431.8943291056,	830.2630972
11515.3918985630,	834.9756946
11599.3655544955,	839.7365593
11683.8203076896,	844.5475319
11768.7613812911,	849.410736
11854.1942411309,	854.3285984
11940.1246277912,	859.3038666
12026.5585900943,	864.339623
12113.5025196606,	869.4392957
12200.9631861521,	874.6066649
12288.9477727951,	879.8458664
12377.4639117612,	885.1613897
12466.5197189783,	890.5580722
12556.1238279434,	896.0410897
12646.2854221186,	901.6159418
12737.0142655115,	907.2884339
12828.3207310615,	913.0646555
12920.2158264910,	918.9509543
13012.7112173157,	924.9539082
13105.8192467516,	931.0802944
13199.5529523056,	937.3370555
13293.9260788854,	943.7312658
13388.9530883165,	950.2700943
13484.6491652063,	956.9607689
13581.0302191459,	963.8105394
13678.1128832895,	970.8266414
13775.9145093982,	978.0162611
13874.4531594752,	985.3865008
13973.7475941592,	992.9443468
14073.8172580746,	1000.696639
14174.6822623643,	1008.650043
14276.3633646526,	1016.811023
14378.8819467045,	1025.185821
14482.2599900540,	1033.780433
14586.5200498858,	1042.600598
14691.6852274509,	1051.651776
14797.7791412958,	1060.939138
14904.8258975792,	1070.467563
15012.8500597369,	1080.241622
15121.8766177435,	1090.26558
15231.9309572068,	1100.543395
15343.0388285092,	1111.078713
15455.2263161947,	1121.874877
15568.5198087819,	1132.934926
15682.9459691613,	1144.261604
15798.5317057168,	1155.857366
15915.3041442940,	1167.724386
16033.2906011156,	1179.864568
16152.5185567295,	1192.279556
16273.0156310577,	1204.970743